seller_id,year_month,monthly_revenue,monthly_orders,active_days,year_month_dt,cluster,seller_type
001cca7ae9ae17fb1caed9dfb1094831,2016-09,0.0,0.0,0,2016-09-01,2,안정형 (Stable)
001cca7ae9ae17fb1caed9dfb1094831,2016-10,0.0,0.0,0,2016-10-01,2,안정형 (Stable)
001cca7ae9ae17fb1caed9dfb1094831,2016-11,0.0,0.0,0,2016-11-01,2,안정형 (Stable)
001cca7ae9ae17fb1caed9dfb1094831,2016-12,0.0,0.0,0,2016-12-01,2,안정형 (Stable)
001cca7ae9ae17fb1caed9dfb1094831,2017-01,0.0,0.0,0,2017-01-01,2,안정형 (Stable)
001cca7ae9ae17fb1caed9dfb1094831,2017-02,1098.9,5.0,4,2017-02-01,2,안정형 (Stable)
001cca7ae9ae17fb1caed9dfb1094831,2017-03,1676.7,11.0,9,2017-03-01,2,안정형 (Stable)
001cca7ae9ae17fb1caed9dfb1094831,2017-04,1708.2,13.0,11,2017-04-01,2,안정형 (Stable)
001cca7ae9ae17fb1caed9dfb1094831,2017-05,2639.99,23.0,17,2017-05-01,2,안정형 (Stable)
001cca7ae9ae17fb1caed9dfb1094831,2017-06,2213.49,21.0,16,2017-06-01,2,안정형 (Stable)
001cca7ae9ae17fb1caed9dfb1094831,2017-07,2483.95,21.0,13,2017-07-01,2,안정형 (Stable)
001cca7ae9ae17fb1caed9dfb1094831,2017-08,1244.0,11.0,9,2017-08-01,2,안정형 (Stable)
001cca7ae9ae17fb1caed9dfb1094831,2017-09,1714.0,12.0,10,2017-09-01,2,안정형 (Stable)
001cca7ae9ae17fb1caed9dfb1094831,2017-10,2626.0,22.0,14,2017-10-01,2,안정형 (Stable)
001cca7ae9ae17fb1caed9dfb1094831,2017-11,2540.0,20.0,13,2017-11-01,2,안정형 (Stable)
001cca7ae9ae17fb1caed9dfb1094831,2017-12,1330.0,12.0,9,2017-12-01,2,안정형 (Stable)
001cca7ae9ae17fb1caed9dfb1094831,2018-01,914.0,8.0,7,2018-01-01,2,안정형 (Stable)
001cca7ae9ae17fb1caed9dfb1094831,2018-02,331.0,3.0,3,2018-02-01,2,안정형 (Stable)
001cca7ae9ae17fb1caed9dfb1094831,2018-03,1056.9,6.0,6,2018-03-01,2,안정형 (Stable)
001cca7ae9ae17fb1caed9dfb1094831,2018-04,539.0,4.0,4,2018-04-01,2,안정형 (Stable)
001cca7ae9ae17fb1caed9dfb1094831,2018-05,0.0,0.0,0,2018-05-01,2,안정형 (Stable)
001cca7ae9ae17fb1caed9dfb1094831,2018-06,241.0,2.0,2,2018-06-01,2,안정형 (Stable)
001cca7ae9ae17fb1caed9dfb1094831,2018-07,129.9,1.0,1,2018-07-01,2,안정형 (Stable)
001cca7ae9ae17fb1caed9dfb1094831,2018-08,0.0,0.0,0,2018-08-01,2,안정형 (Stable)
002100f778ceb8431b7a1020ff7ab48f,2016-09,0.0,0.0,0,2016-09-01,1,계절형 (Seasonal)
002100f778ceb8431b7a1020ff7ab48f,2016-10,0.0,0.0,0,2016-10-01,1,계절형 (Seasonal)
002100f778ceb8431b7a1020ff7ab48f,2016-11,0.0,0.0,0,2016-11-01,1,계절형 (Seasonal)
002100f778ceb8431b7a1020ff7ab48f,2016-12,0.0,0.0,0,2016-12-01,1,계절형 (Seasonal)
002100f778ceb8431b7a1020ff7ab48f,2017-01,0.0,0.0,0,2017-01-01,1,계절형 (Seasonal)
002100f778ceb8431b7a1020ff7ab48f,2017-02,0.0,0.0,0,2017-02-01,1,계절형 (Seasonal)
002100f778ceb8431b7a1020ff7ab48f,2017-03,0.0,0.0,0,2017-03-01,1,계절형 (Seasonal)
002100f778ceb8431b7a1020ff7ab48f,2017-04,0.0,0.0,0,2017-04-01,1,계절형 (Seasonal)
002100f778ceb8431b7a1020ff7ab48f,2017-05,0.0,0.0,0,2017-05-01,1,계절형 (Seasonal)
002100f778ceb8431b7a1020ff7ab48f,2017-06,0.0,0.0,0,2017-06-01,1,계절형 (Seasonal)
