seller_id,type,L,target,final_recovery,completed,completion_t,burden_mean,burden_months,household_violation_count,household_penalty_sum,total_reward,n_months
k_001cca7a_0,stable,2284.7616577148438,2741.7139892578125,0.6666666754876902,False,25,0.10000000149011612,24,24,24.0,-31.46666664116098,24
k_001cca7a_1,stable,2023.3685302734375,2428.042236328125,0.6666666627750936,False,25,0.09935854782049851,24,24,24.0,-31.435877004857897,24
k_004c9cd9_0,stable,3523.2447509765625,4227.893701171874,0.6666667069170118,False,25,0.0957760552611666,24,24,24.0,-31.263916876448874,24
k_004c9cd9_1,stable,3116.8641357421875,3740.236962890625,0.6666666994467116,False,25,0.09877794620644309,24,24,24.0,-31.408007723995443,24
k_00ee6830_0,stable,4253.0738525390625,5103.688623046874,0.6666666574663288,False,25,0.08754364369440774,24,24,24.0,-30.86876166520196,24
k_00ee6830_1,stable,5947.44140625,7136.9296875,0.6666666526551214,False,25,0.06812686366791813,24,24,24.0,-29.936756276853735,24
k_013900e8_0,growth,465.8368835449219,559.0042602539062,0.6666666880311308,False,25,0.10000000149011612,13,13,13.0,-18.26666647040058,24
k_013900e8_1,stable,752.2326049804688,902.6791259765624,0.6666666580064944,False,25,0.10000000149011612,19,19,19.0,-25.466666818552973,24
k_014c0679_0,stable,1296.1207580566406,1555.3449096679688,0.6666666824871044,False,25,0.09918193920355416,21,21,21.0,-27.832307939191132,24
k_014c0679_1,stable,1363.9018249511719,1636.6821899414062,0.6666666756684742,False,25,0.10000000149011612,19,19,19.0,-25.46666662427119,24
k_01c97ebb_0,volatile,191.14591598510742,229.3750991821289,0.6666667032100955,False,25,0.10000000149011612,8,8,8.0,-12.266666288530809,24
k_01c97ebb_1,stable,314.6686477661133,377.6023773193359,0.6666666498293646,False,25,0.10000000149011612,17,17,17.0,-23.066666902540934,24
k_01cf7e3d_0,stable,1474.108154296875,1768.9297851562499,0.6666666714251739,False,25,0.09955589803794455,18,18,18.0,-24.250678943689092,24
k_01cf7e3d_1,stable,1407.9919738769531,1689.5903686523436,0.6666665998367779,False,25,0.10000000149011612,18,18,18.0,-24.26666745543962,24
k_01fdefa7_0,stable,2356.6419067382812,2827.970288085937,0.6666667024999814,False,25,0.10000000149011612,24,24,24.0,-31.466666344025775,24
k_01fdefa7_1,stable,3043.5126342773438,3652.215161132812,0.6666667284074117,False,25,0.09962897276838016,24,24,24.0,-31.448856680400723,24
k_02c98809_0,stable,772.527099609375,927.0325195312499,0.6666666338052397,False,25,0.10000000149011612,22,22,22.0,-29.066667093707473,24
k_02c98809_1,stable,825.4335021972656,990.5202026367188,0.666666692005598,False,25,0.10000000149011612,22,22,22.0,-29.066666453503537,24
k_02d35243_0,stable,1064.0263366699219,1276.8316040039062,0.6666666931821073,False,25,0.10000000149011612,20,20,20.0,-26.666666434601463,24
k_02d35243_1,stable,1131.453369140625,1357.74404296875,0.6666666586194301,False,25,0.10000000149011612,17,17,17.0,-23.06666680585022,24
k_02ecc2a1_0,stable,1065.4289245605469,1278.5147094726562,0.6666667171790195,False,25,0.10000000149011612,19,19,19.0,-25.466666167655195,24
k_02ecc2a1_1,stable,1544.8258666992188,1853.7910400390624,0.6666666671349782,False,25,0.10000000149011612,20,20,20.0,-26.66666672111988,24
k_0432ead4_0,decline,656.4261016845703,787.7113220214843,0.6666666657650976,False,25,0.10000000149011612,16,16,16.0,-21.866666724267642,24
k_0432ead4_1,stable,888.35009765625,1066.0201171874999,0.6666666594242249,False,25,0.09898858727552635,14,14,14.0,-19.438347190048265,24
k_048c2757_0,stable,2117.1941528320312,2540.6329833984373,0.6666666513759915,False,25,0.10000000149011612,24,24,24.0,-31.466666906389662,24
k_048c2757_1,stable,1882.0779418945312,2258.4935302734375,0.666666640117401,False,25,0.10000000149011612,24,24,24.0,-31.466667030234163,24
k_04aba032_0,decline,768.4569396972656,922.1483276367187,0.6666666782554742,False,25,0.10000000149011612,15,15,15.0,-20.666666583893274,24
