seller_id,type,cv,R_mean,R_p10,kosis_category,m_i_uniform,m_i_category,Uniform_m_i_0.10_eligible,Uniform_m_i_0.10_L_star,Uniform_m_i_0.10_cap_star,Uniform_m_i_0.10_reject_reason,Category_m_i_eligible,Category_m_i_L_star,Category_m_i_cap_star,Category_m_i_reject_reason
k_004c9cd9_0,stable,0.18297906860014312,1162.4092575475436,988.2826591769352,생활용품,0.1,0.1,False,0.0,1.05,가계비 충당 불가,False,0.0,1.05,가계비 충당 불가
k_004c9cd9_1,stable,0.22384323192136787,967.678660211704,756.001551233189,생활용품,0.1,0.1,False,0.0,1.05,가계비 충당 불가,False,0.0,1.05,가계비 충당 불가
k_00ee6830_0,stable,0.41121545314331187,1346.4043761464934,833.2639005345314,생활용품,0.1,0.1,False,0.0,1.05,가계비 충당 불가,False,0.0,1.05,가계비 충당 불가
k_00ee6830_1,stable,0.32462875020424165,1605.603284185884,1054.9300394237882,생활용품,0.1,0.1,False,0.0,1.05,가계비 충당 불가,False,0.0,1.05,가계비 충당 불가
k_013900e8_0,stable,0.5129818639659707,373.0826277917936,233.9952231989204,신발,0.1,0.12,False,0.0,1.05,가계비 충당 불가,False,0.0,1.05,가계비 충당 불가
k_013900e8_1,volatile,0.5647923821012697,299.22272813472705,164.36379596229796,신발,0.1,0.12,False,0.0,1.3,가계비 충당 불가,False,0.0,1.3,가계비 충당 불가
k_014c0679_0,stable,0.5317816975166555,475.53781060352543,265.66018192092685,가구,0.1,0.1,False,0.0,1.05,가계비 충당 불가,False,0.0,1.05,가계비 충당 불가
k_014c0679_1,stable,0.6036097611295604,616.5609146051347,289.8422531978037,가구,0.1,0.1,False,0.0,1.05,가계비 충당 불가,False,0.0,1.05,가계비 충당 불가
k_01c97ebb_0,decline,0.6622562569431301,121.13698307500326,55.41471788991624,컴퓨터 및 주변기기,0.1,0.06,False,0.0,1.25,가계비 충당 불가,False,0.0,1.25,가계비 충당 불가
k_01c97ebb_1,other,0.6195266737627584,141.6739574257775,60.51810500708579,컴퓨터 및 주변기기,0.1,0.06,False,0.0,1.1500000000000001,가계비 충당 불가,False,0.0,1.1500000000000001,가계비 충당 불가
k_01cf7e3d_0,other,0.5429422592964321,687.5953465185565,419.3213940427931,가전·전자,0.1,0.05,False,0.0,1.1500000000000001,가계비 충당 불가,False,0.0,1.1500000000000001,가계비 충당 불가
k_01cf7e3d_1,stable,0.48542211285049286,639.2976870793689,448.0716240417613,가전·전자,0.1,0.05,False,0.0,1.05,가계비 충당 불가,False,0.0,1.05,가계비 충당 불가
k_01fdefa7_0,stable,0.294084192659084,978.1539997660985,626.1243448304241,화장품,0.1,0.2,False,0.0,1.05,가계비 충당 불가,False,0.0,1.05,가계비 충당 불가
k_01fdefa7_1,stable,0.26643700929194675,931.243284182773,633.8814768454012,화장품,0.1,0.2,False,0.0,1.05,가계비 충당 불가,False,0.0,1.05,가계비 충당 불가
k_02d35243_0,stable,0.5661635351351687,616.063941838579,345.41022505213,가구,0.1,0.1,False,0.0,1.05,가계비 충당 불가,False,0.0,1.05,가계비 충당 불가
k_02d35243_1,stable,0.5274567276358341,627.5242075266261,309.4875356698671,가구,0.1,0.1,False,0.0,1.05,가계비 충당 불가,False,0.0,1.05,가계비 충당 불가
