date,가구,가방,가전·전자,가전·전자·통신기기,기타,기타서비스,농축수산물,문화 및 레저서비스,사무·문구,생활용품,서적,스포츠·레저용품,신발,아동·유아용품,애완용품,여행 및 교통서비스,음·식료품,음식서비스,의복,이쿠폰서비스,자동차 및 자동차용품,컴퓨터 및 주변기기,통신기기,패션용품 및 액세서리,합계,화장품
2019-01-01,284702.0,202289.0,,1063081.0,223939.0,97802.0,413272.0,167713.0,79764.0,831769.0,173949.0,275432.0,159646.0,313678.0,72818.0,1538638.0,1193353.0,621909.0,1107321.0,240122.0,96468.0,561512.0,,191270.0,10811796.0,901348.0
2019-02-01,273700.0,211934.0,,982059.0,221598.0,77885.0,231118.0,182936.0,71208.0,735651.0,154317.0,251940.0,156431.0,286419.0,65332.0,1417432.0,867434.0,614963.0,959743.0,234109.0,79857.0,542469.0,,185262.0,9666871.0,863072.0
2019-03-01,309508.0,230083.0,,1324884.0,327742.0,78986.0,278404.0,176085.0,81741.0,869192.0,196741.0,331660.0,206810.0,337553.0,73144.0,1379761.0,1027271.0,694509.0,1238235.0,257544.0,106893.0,532496.0,,211277.0,11296239.0,1025719.0
2019-04-01,288266.0,218640.0,,1134227.0,195957.0,79595.0,286290.0,200034.0,80638.0,821882.0,147909.0,361085.0,204171.0,354227.0,75924.0,1395058.0,1058853.0,686320.0,1204083.0,226798.0,97417.0,469169.0,,213521.0,10763785.0,963721.0
2019-05-01,289865.0,225132.0,,1296165.0,195838.0,90207.0,285288.0,204178.0,72149.0,862291.0,133322.0,408724.0,217438.0,347942.0,77463.0,1489894.0,1111609.0,742382.0,1278281.0,275980.0,106336.0,440108.0,,233789.0,11374817.0,990437.0
2019-06-01,274041.0,210523.0,,1177804.0,161668.0,87966.0,269840.0,248326.0,63607.0,812251.0,122458.0,363405.0,211418.0,303935.0,77825.0,1483712.0,1040151.0,774478.0,1133621.0,259856.0,98707.0,389195.0,,215417.0,10725166.0,944962.0
2019-07-01,266896.0,209939.0,,1230419.0,182308.0,96756.0,282677.0,215929.0,69488.0,845351.0,156406.0,391095.0,205065.0,318267.0,77944.0,1651491.0,1092958.0,828915.0,1139671.0,282476.0,97304.0,443122.0,,231955.0,11302975.0,986542.0
2019-08-01,279352.0,222228.0,,1198465.0,203535.0,129122.0,321530.0,220069.0,69003.0,874832.0,154251.0,337705.0,162540.0,308960.0,77351.0,1692768.0,1215522.0,917005.0,912495.0,309178.0,112212.0,447965.0,,212401.0,11418155.0,1039664.0
2019-09-01,291520.0,228842.0,,1096363.0,192953.0,174802.0,374542.0,166651.0,69440.0,859634.0,147118.0,343934.0,201008.0,325269.0,82670.0,1370146.0,1233759.0,854892.0,1187128.0,276810.0,169793.0,435676.0,,212056.0,11397646.0,1102640.0
2019-10-01,324803.0,235527.0,,1200192.0,206265.0,121149.0,313056.0,206700.0,78616.0,907585.0,133779.0,406650.0,212645.0,349396.0,88768.0,1486653.0,1190483.0,913722.0,1413279.0,302371.0,106702.0,445118.0,,206328.0,12008033.0,1158245.0
2019-11-01,329462.0,232236.0,,1357353.0,206900.0,134574.0,325846.0,206813.0,85392.0,932759.0,147454.0,417226.0,251485.0,361415.0,86415.0,1497585.0,1198157.0,1026981.0,1710042.0,369420.0,159418.0,528007.0,,216318.0,12991605.0,1210348.0
2019-12-01,323767.0,245214.0,,1213392.0,213645.0,180256.0,341186.0,184605.0,103299.0,927285.0,178831.0,361262.0,231875.0,442747.0,87025.0,1619104.0,1217181.0,1059286.0,1462342.0,345362.0,115796.0,554877.0,,242365.0,12843750.0,1193049.0
2020-01-01,305596.0,173301.0,877048.0,1063030.0,356840.0,168271.0,492472.0,156501.0,95234.0,924081.0,167000.0,274151.0,182390.0,327048.0,114253.0,1404685.0,1355630.0,1063619.0,1055242.0,318519.0,119312.0,606270.0,185982.0,228618.0,12098574.0,1146509.0
2020-02-01,375440.0,168500.0,1010114.0,1250751.0,323190.0,157638.0,481068.0,57759.0,107398.0,1133923.0,186751.0,280908.0,189891.0,384914.0,116642.0,684536.0,1419357.0,1135181.0,986168.0,334652.0,153960.0,674827.0,240637.0,215694.0,11884677.0,1065530.0
2020-03-01,435871.0,148699.0,1075161.0,1298534.0,324693.0,75497.0,554202.0,21532.0,110252.0,1236729.0,260453.0,355634.0,227319.0,399680.0,126326.0,358058.0,1548428.0,1252296.0,1160673.0,361009.0,196688.0,759258.0,223373.0,222295.0,12439142.0,1005016.0
2020-04-01,398746.0,135553.0,1044636.0,1246750.0,258478.0,124663.0,500913.0,30750.0,101037.0,1055996.0,204465.0,425931.0,235172.0,390843.0,126422.0,439688.0,1434034.0,1263001.0,1159378.0,346568.0,129962.0,719961.0,202114.0,202474.0,11913275.0,982493.0
2020-05-01,397567.0,153351.0,1249831.0,1516238.0,345233.0,98988.0,443880.0,53435.0,99885.0,1137418.0,170804.0,475128.0,271157.0,394902.0,126839.0,550677.0,1405946.0,1320810.0,1289693.0,353267.0,141621.0,614228.0,266407.0,228931.0,12552441.0,962443.0
2020-06-01,392272.0,157391.0,1253409.0,1459321.0,310461.0,104283.0,449916.0,45366.0,99815.0,1144988.0,170991.0,473507.0,278675.0,364106.0,128447.0,582768.0,1357491.0,1253492.0,1293204.0,322707.0,268300.0,584489.0,205912.0,234539.0,12508478.0,1031949.0
2020-07-01,379171.0,169311.0,1086327.0,1319735.0,331894.0,114718.0,493493.0,78956.0,102546.0,1191519.0,192838.0,489664.0,244370.0,370888.0,138220.0,782008.0,1496279.0,1378784.0,1100533.0,356229.0,169968.0,627477.0,233408.0,246560.0,12845894.0,1070731.0
2020-08-01,406125.0,161919.0,1167355.0,1536013.0,384115.0,164299.0,530773.0,58876.0,96104.0,1256466.0,206849.0,404842.0,198913.0,366351.0,136638.0,780715.0,1553827.0,1677419.0,934468.0,362136.0,186481.0,655302.0,368658.0,220971.0,13415501.0,1135896.0
2020-09-01,443504.0,158551.0,1015316.0,1311734.0,337233.0,142442.0,782980.0,40800.0,108577.0,1204082.0,222966.0,443762.0,218111.0,383837.0,139446.0,546396.0,1895413.0,1604224.0,1181607.0,412319.0,194519.0,711784.0,296418.0,207302.0,13818699.0,1127110.0
2020-10-01,446688.0,164310.0,1137037.0,1535090.0,316098.0,161062.0,533924.0,78827.0,115409.0,1142728.0,172641.0,544942.0,260178.0,388526.0,144256.0,678812.0,1554795.0,1546882.0,1632239.0,371926.0,156100.0,615848.0,398053.0,213669.0,13856877.0,1081927.0
2020-11-01,443711.0,166712.0,1332687.0,1824791.0,351233.0,134682.0,560558.0,69377.0,128597.0,1180297.0,186634.0,532682.0,312872.0,397184.0,145601.0,684439.0,1655339.0,1643228.0,1772274.0,417358.0,214287.0,736314.0,492104.0,237435.0,14978279.0,1182673.0
2020-12-01,487828.0,158409.0,1287143.0,1716654.0,366562.0,143767.0,737017.0,7443.0,172918.0,1344804.0,256385.0,468063.0,271389.0,519588.0,160729.0,469642.0,1879418.0,2198156.0,1532437.0,538489.0,193706.0,915378.0,429511.0,285067.0,15972133.0,1148286.0
2021-01-01,473875.0,155942.0,1270735.0,1747595.0,290585.0,178931.0,806650.0,29029.0,131436.0,1258550.0,259470.0,358295.0,206175.0,397306.0,158243.0,496568.0,1981958.0,2166392.0,1124884.0,473998.0,144194.0,886377.0,476860.0,241517.0,15115721.0,1147751.0
2021-02-01,434696.0,173834.0,1157483.0,1494087.0,285156.0,181705.0,702649.0,68847.0,119851.0,1118099.0,220264.0,325108.0,224225.0,366290.0,138320.0,569669.0,1741479.0,1946770.0,1032236.0,490846.0,161497.0,849681.0,336604.0,222517.0,13834738.0,966912.0
2021-03-01,497188.0,203069.0,1233850.0,1665078.0,374382.0,270543.0,646141.0,77868.0,139339.0,1274660.0,269670.0,449411.0,314281.0,417464.0,158226.0,612314.0,1840361.0,2111977.0,1494215.0,498738.0,358890.0,871089.0,431228.0,266732.0,15923334.0,1111699.0
2021-04-01,442887.0,193441.0,1192345.0,1523437.0,300727.0,151005.0,629164.0,76061.0,130299.0,1223896.0,191687.0,509969.0,284306.0,428652.0,155935.0,690807.0,1823237.0,2134902.0,1438327.0,455679.0,193664.0,732751.0,331092.0,268753.0,15075852.0,1096267.0
2021-05-01,434575.0,192802.0,1367817.0,1694043.0,312544.0,163733.0,644274.0,90443.0,116189.0,1269005.0,188235.0,503709.0,317546.0,425263.0,158686.0,771440.0,1873785.0,2341267.0,1404875.0,509423.0,407472.0,728700.0,326226.0,283261.0,16030296.0,1199025.0
2021-06-01,429089.0,181809.0,1304531.0,1635537.0,274226.0,194354.0,612349.0,114356.0,113739.0,1255240.0,180939.0,493076.0,322636.0,379458.0,159458.0,789307.0,1788855.0,2196562.0,1416603.0,496434.0,533645.0,663578.0,331006.0,268901.0,15596928.0,1096774.0
2021-07-01,425914.0,190635.0,1597457.0,1914546.0,283703.0,207668.0,650408.0,80643.0,110047.0,1313795.0,222672.0,512539.0,273041.0,399376.0,165141.0,789194.0,1903206.0,2658286.0,1298145.0,499345.0,184325.0,751062.0,317089.0,281122.0,16167481.0,1052667.0
2021-08-01,427867.0,192678.0,1197748.0,1665114.0,262588.0,203378.0,706447.0,90357.0,113421.0,1290387.0,218647.0,464797.0,235759.0,374984.0,169974.0,787989.0,1982391.0,2724855.0,1077244.0,494683.0,308862.0,774229.0,467366.0,261076.0,15802435.0,974706.0
2021-09-01,420552.0,206281.0,1138945.0,1570949.0,261694.0,224920.0,848002.0,88810.0,117905.0,1278449.0,207070.0,504565.0,254781.0,379942.0,165238.0,759768.0,2080059.0,2491988.0,1365211.0,544673.0,357732.0,736291.0,432004.0,260561.0,16187427.0,1061988.0
2021-10-01,451944.0,226365.0,1259780.0,2024371.0,276798.0,142147.0,651166.0,133035.0,137595.0,1326992.0,183503.0,584014.0,301715.0,407279.0,175109.0,889575.0,1901883.0,2597120.0,1829699.0,464374.0,224602.0,729530.0,764591.0,286796.0,16975318.0,1029706.0
2021-11-01,453877.0,226202.0,1478880.0,1999871.0,280987.0,136609.0,658584.0,173315.0,150559.0,1336304.0,206931.0,541270.0,340226.0,420119.0,174413.0,981279.0,1934971.0,2407270.0,1996617.0,523554.0,380749.0,832499.0,520991.0,304898.0,17580881.0,1119776.0
2021-12-01,479119.0,231770.0,1307380.0,1759395.0,330100.0,151394.0,777554.0,133937.0,193861.0,1444972.0,258394.0,504776.0,341852.0,544895.0,184107.0,967224.0,2062019.0,2883123.0,1895889.0,647950.0,286386.0,961286.0,452015.0,373651.0,18433554.0,1019900.0
2022-01-01,443167.0,228580.0,1253022.0,1647118.0,279701.0,168309.0,1033083.0,123433.0,140741.0,1351648.0,241890.0,392092.0,263344.0,392839.0,177540.0,933931.0,2323255.0,2848017.0,1393530.0,630161.0,250325.0,857109.0,394096.0,317812.0,17364292.0,926667.0
2022-02-01,471393.0,227861.0,1270414.0,1802121.0,289580.0,179230.0,665832.0,87068.0,138402.0,1333169.0,228826.0,367342.0,254386.0,389246.0,168644.0,781192.0,1964165.0,2697750.0,1250015.0,562045.0,240079.0,943650.0,531707.0,292998.0,16243622.0,908626.0
2022-03-01,478891.0,243024.0,1247552.0,1661714.0,304252.0,202627.0,819564.0,113285.0,150709.0,1459725.0,288618.0,477696.0,327221.0,442063.0,187743.0,921597.0,2278847.0,2879687.0,1671285.0,601335.0,429300.0,895682.0,414162.0,301229.0,18138757.0,1002663.0
2022-04-01,421921.0,227229.0,1202620.0,1554476.0,294157.0,193552.0,741042.0,167986.0,145213.0,1338222.0,210169.0,548143.0,340067.0,469053.0,178635.0,1297918.0,2132255.0,2529266.0,1768628.0,555143.0,282352.0,717002.0,351856.0,297406.0,17323878.0,914043.0
2022-05-01,428034.0,232795.0,1342253.0,1716531.0,288946.0,196430.0,735748.0,252642.0,130811.0,1380382.0,199924.0,584236.0,369202.0,454589.0,187179.0,1514222.0,2192917.0,2504692.0,1748502.0,625029.0,387862.0,734353.0,374278.0,323253.0,18169890.0,981610.0
2022-06-01,417428.0,228128.0,1331774.0,1683784.0,274668.0,207743.0,707182.0,311577.0,129338.0,1368945.0,177803.0,515473.0,338527.0,404665.0,188369.0,1509874.0,2098525.0,2498293.0,1639398.0,515592.0,461125.0,638140.0,352010.0,315649.0,17571330.0,941103.0
2022-07-01,406514.0,220643.0,1392860.0,1774119.0,298550.0,222615.0,715896.0,265538.0,129398.0,1382460.0,211863.0,524621.0,306407.0,408449.0,188363.0,1673687.0,2152629.0,2723237.0,1520069.0,589275.0,286048.0,699112.0,381259.0,318959.0,17874141.0,855691.0
2022-08-01,433886.0,237097.0,1245593.0,1791461.0,298040.0,200805.0,892953.0,245879.0,137944.0,1456385.0,219179.0,496034.0,295945.0,413402.0,200606.0,1713992.0,2512599.0,2711651.0,1320197.0,612826.0,450284.0,726006.0,545868.0,307539.0,18556914.0,882205.0
2022-09-01,404081.0,232017.0,1080810.0,1619684.0,279356.0,264009.0,834066.0,215216.0,139082.0,1328001.0,202178.0,522806.0,297514.0,402005.0,192670.0,1502390.0,2252254.0,2406359.0,1611461.0,698777.0,536563.0,684799.0,538874.0,292988.0,17815288.0,897013.0
2022-10-01,430880.0,220030.0,1218060.0,2074121.0,280544.0,202852.0,735877.0,229605.0,154340.0,1359010.0,171879.0,594858.0,328694.0,427120.0,196331.0,1633307.0,2159610.0,2577341.0,2012768.0,617221.0,255561.0,671761.0,856061.0,293429.0,18532281.0,905143.0
2022-11-01,434833.0,235748.0,1343715.0,1862379.0,290291.0,236925.0,764376.0,202822.0,175450.0,1421610.0,198808.0,552234.0,377096.0,449916.0,200675.0,1575596.0,2283751.0,2497013.0,2087792.0,743226.0,376998.0,800983.0,518664.0,324073.0,19011685.0,919090.0
2022-12-01,423958.0,222771.0,1273520.0,1748026.0,321267.0,197819.0,833845.0,235088.0,210089.0,1450150.0,219264.0,504217.0,374567.0,543411.0,206586.0,1758769.0,2310508.0,2763626.0,2053313.0,784783.0,303624.0,762779.0,474506.0,414493.0,19573059.0,930109.0
2023-01-01,414516.0,242710.0,1187655.0,1683565.0,294192.0,157403.0,1084405.0,200077.0,151494.0,1337417.0,216561.0,362732.0,278985.0,406097.0,206743.0,2201506.0,2583573.0,2687432.0,1485952.0,760223.0,251521.0,785114.0,495910.0,316390.0,19050522.0,941917.0
2023-02-01,448193.0,253367.0,1112200.0,1770532.0,263367.0,148298.0,736757.0,193320.0,162268.0,1282871.0,219863.0,370032.0,308003.0,402035.0,190844.0,2122658.0,2152851.0,2451832.0,1491451.0,722182.0,260079.0,890982.0,658331.0,293703.0,18029539.0,894052.0
2023-03-01,474721.0,280848.0,1137489.0,1600477.0,298547.0,145906.0,822804.0,206388.0,180658.0,1454800.0,264568.0,491591.0,371195.0,471514.0,213850.0,2160996.0,2461943.0,2558584.0,1955829.0,764511.0,388501.0,865812.0,462987.0,330225.0,19747910.0,983642.0
2023-04-01,420587.0,258111.0,1144661.0,1529550.0,311376.0,174491.0,792087.0,221453.0,161326.0,1370973.0,187188.0,509092.0,344515.0,470032.0,203800.0,2235924.0,2372133.0,2550159.0,1807688.0,767869.0,299961.0,677035.0,384888.0,318319.0,18966615.0,982948.0
