category,n_obs,mean_value,trend_slope_rel,season_amplitude_rel,resid_std_rel
통신기기,60,443626.81666666665,0.012011072097423647,1.9302769677147027,0.2469613120937071
자동차 및 자동차용품,72,304168.0416666667,0.021257599791019648,1.212643706424265,0.20148819746994864
기타서비스,72,176783.18055555556,0.013703979648895928,0.9908734343583951,0.1505682764359912
문화 및 레저서비스,72,179224.51388888888,0.0006580596074944526,0.8805779269282376,0.17653558597917232
기타,72,278400.77777777775,0.003634585248989313,0.7748709723949961,0.11659719337015571
이쿠폰서비스,72,554220.9722222222,0.008747038942239278,0.7615207461111376,0.1699302135494817
의복,72,1554660.5972222222,0.006460839765687504,0.7078667921254733,0.03183161422735197
사무·문구,72,133488.27777777778,0.01115479509283061,0.6141154018608904,0.05243509832293616
농축수산물,72,722215.0972222222,0.01770458542483088,0.5643039488242962,0.08130145942280205
여행 및 교통서비스,72,1585936.3333333333,0.008491287270625194,0.5227097243826778,0.08754670390301421
아동·유아용품,72,409636.9166666667,0.0037682905721559234,0.504150590355335,0.035273495309960996
서적,72,201350.97222222222,0.005336681076849926,0.4985048165123751,0.062439071652970524
스포츠·레저용품,72,455953.30555555556,0.004058822788788669,0.4847674421479055,0.04066140703552197
신발,72,283595.8611111111,0.006564399666034787,0.47724452643624865,0.04465651532443538
컴퓨터 및 주변기기,72,692404.0277777778,0.005757398937360561,0.4254140249470518,0.07251624039405795
패션용품 및 액세서리,72,283859.7916666667,0.007262685148868234,0.37504633673836,0.0430229877843872
가방,72,214737.25,-0.001217904783641195,0.36398622072704684,0.07002100542555394
가구,72,418907.84722222225,0.007930626833417135,0.32595595474413186,0.052307229784015086
화장품,72,1031478.75,0.0013897277408636286,0.303073500788864,0.05130936505736502
가전·전자,60,1270484.7,0.004084591838627873,0.2823450347350209,0.04886692858254486
가전·전자·통신기기,72,1626681.9444444445,0.00655311057965295,0.2674396599013067,0.05436739565000737
음식서비스,72,2179770.888888889,0.01742023867569664,0.24081828949279593,0.0572056992584138
생활용품,72,1290873.7222222222,0.009542286132604065,0.2253723626971228,0.04504279828092374
애완용품,72,168951.75,0.014981498042530171,0.1931100771313089,0.028833109102127084
음·식료품,72,2036259.375,0.014596911979875326,0.19135547796576416,0.03510117156083663
합계,72,16783559.986111112,0.01001013334899647,0.15805881533824945,0.023287857999848893
