date,패션의류,패션잡화,화장품/미용,디지털/가전,가구/인테리어,출산/육아,식품,스포츠/레저,생활/건강,여가/생활편의,도서
2019-01-01,63.11331,52.03247,18.27295,18.4899,5.82844,4.27398,6.90777,7.00531,12.95192,28.30693,17.81058
2019-02-01,52.44543,51.93155,16.70333,16.30971,5.34408,4.04166,5.51937,5.75322,11.75654,23.5971,14.3624
2019-03-01,59.09695,54.78961,17.21622,17.88112,5.54275,5.38436,6.32702,7.13324,13.84986,19.87376,12.12982
2019-04-01,50.63932,51.75274,15.97984,14.37009,4.60943,5.32808,5.92272,7.53631,12.10741,18.33778,10.72833
2019-05-01,54.46637,59.71662,17.43565,12.52834,4.82237,5.43438,6.34115,9.07472,12.64413,21.61446,12.56798
2019-06-01,54.61745,61.82547,18.38625,14.26506,5.07343,5.01683,6.64508,9.84216,12.87275,26.28896,16.32016
2019-07-01,60.33028,66.87886,19.45921,15.19443,5.47465,5.4431,6.98218,11.58441,13.56925,35.0808,21.82811
2019-08-01,56.71484,64.81441,19.03331,14.77722,5.63992,5.27182,7.53678,10.64626,13.46045,33.41914,19.437
2019-09-01,68.5534,66.31367,18.28345,14.14709,5.75417,5.94589,7.98807,10.07495,13.20616,23.03968,13.87732
2019-10-01,83.61766,63.87464,19.21864,14.42517,6.17297,6.53648,7.96131,11.43316,13.92762,24.24344,14.45269
2019-11-01,100.0,63.96567,20.18486,15.06433,6.22316,7.09883,8.29346,11.73633,13.86487,24.27382,13.74843
2019-12-01,87.21835,65.05409,20.99423,14.24995,6.03966,7.61283,8.34087,9.70353,14.66969,30.92183,17.25957
2020-01-01,63.47757,61.38685,21.35526,14.32272,5.67251,5.93373,8.79169,7.56718,16.86571,27.92809,16.29936
2020-02-01,60.78561,63.30866,21.32418,15.48284,6.59817,6.8468,9.03211,7.27844,29.31044,15.08746,5.60912
2020-03-01,70.21523,67.53496,22.1403,17.53018,8.3755,7.55786,11.01446,9.60433,29.17215,11.01101,
2020-04-01,70.62257,66.82529,20.06186,17.20756,8.22704,7.40079,10.14703,12.19781,21.43686,12.30393,
2020-05-01,75.71848,75.15868,19.98101,16.63665,8.06127,7.7054,9.20462,14.26008,22.41062,13.50218,0.0
2020-06-01,71.61406,72.72751,18.61631,15.70795,7.41608,6.70125,9.04334,13.62111,20.50529,14.4813,
2020-07-01,61.01556,67.16457,18.63841,14.73045,6.90024,5.82542,9.26253,13.45365,19.71595,20.58578,
2020-08-01,54.99219,58.18584,18.59708,16.79547,7.21188,5.36458,9.48071,11.21362,20.05363,18.56201,
2020-09-01,65.50433,55.4911,17.24837,16.38174,7.94165,6.30123,11.52575,12.03579,22.2261,11.35906,
2020-10-01,90.29844,59.03399,17.5172,16.01186,7.33389,7.23161,9.38377,14.5453,21.72505,14.32347,
2020-11-01,95.01842,61.78056,17.84983,16.60017,7.11546,6.98336,9.56909,12.87106,22.01487,13.82545,
2020-12-01,79.78099,65.6312,20.3799,18.60359,8.70862,8.34008,11.67163,11.66255,27.35472,11.5453,
2021-01-01,62.90784,61.62188,20.85464,19.49095,8.79796,7.13423,12.949,9.77906,27.29791,11.6436,
2021-02-01,56.2352,58.32692,18.00857,16.08043,7.11541,6.58646,10.65131,8.46122,22.91085,14.4452,
2021-03-01,77.04608,69.764,20.03344,17.32416,7.67057,8.03881,11.63314,11.61447,26.17655,16.22184,
2021-04-01,69.21442,67.18779,19.08792,14.07698,6.52678,7.01656,10.4484,11.87663,23.55577,17.06535,
2021-05-01,72.43747,73.68369,21.04977,15.06171,6.65428,6.71983,11.06618,13.29134,24.27351,19.41308,0.0
2021-06-01,71.15346,72.23744,20.39106,15.65489,6.37452,5.96851,11.54016,13.71704,23.72567,21.79954,
2021-07-01,66.77036,69.16895,22.34445,18.97638,6.99978,5.65315,12.95742,14.11071,25.59239,22.97793,
2021-08-01,54.88056,60.37253,23.104,18.78373,7.28965,5.18658,14.08003,13.60931,26.17824,21.21564,
2021-09-01,66.72176,61.87548,21.73955,17.87758,7.03428,5.74338,14.6456,13.90776,24.85727,18.51588,
2021-10-01,95.13478,70.43549,23.52598,19.9311,7.98904,7.1203,14.63879,16.64107,27.39115,23.90991,
2021-11-01,98.3153,69.71692,24.50547,20.99509,7.89988,7.11315,15.07886,14.78723,27.69641,26.61259,
2021-12-01,90.83479,74.80307,27.60355,22.62906,9.03637,8.67146,18.23306,14.12188,31.52539,28.81544,
2022-01-01,75.62377,71.01673,30.50639,24.66726,9.4351,6.75094,21.63962,13.08332,31.8545,30.54468,
2022-02-01,64.9435,66.11072,30.02865,24.72748,9.23897,6.47823,19.1818,12.01947,32.06743,24.40534,
2022-03-01,79.90703,74.04258,31.62823,29.94314,9.99773,7.58437,23.51893,15.22961,34.50679,23.90491,
2022-04-01,78.99857,73.4322,32.28991,28.64846,9.43628,7.63213,24.57465,16.67689,34.58919,29.09113,
2022-05-01,80.79901,79.5995,36.20646,26.08742,9.79316,7.3093,24.83494,18.28653,34.9868,34.21348,0.0
2022-06-01,74.85918,77.08592,35.54704,27.57459,10.45307,6.57932,25.94885,18.53355,34.63354,34.8212,0.0
2022-07-01,69.32055,73.53445,35.84415,36.09395,11.81082,6.8554,28.25013,20.43191,39.55325,41.83923,0.0
2022-08-01,59.98984,68.96055,35.4534,34.35234,12.32191,6.59947,29.16774,20.09227,42.02799,42.80261,0.0
2022-09-01,67.38339,65.91701,33.31575,34.20703,13.00669,7.1511,28.25665,20.27318,43.57236,37.82441,
2022-10-01,83.52042,64.75006,31.70326,32.43082,11.52836,7.2494,24.23585,20.852,39.38588,37.92418,
2022-11-01,80.68223,63.32068,34.12331,40.12211,13.52231,7.35684,27.23242,19.97881,44.1478,38.7404,
2022-12-01,91.38154,85.28996,47.79419,69.56734,22.09553,11.46167,44.76487,25.8,68.29088,59.63648,
2023-01-01,79.21007,85.83105,56.34906,81.46827,28.25511,10.71363,60.93337,25.93167,83.67856,82.11551,
2023-02-01,84.98096,94.97017,66.06824,100.0,35.96894,12.74871,68.67211,30.17708,100.0,100.0,
2023-03-01,96.30756,91.80303,57.52339,76.79381,26.65042,11.61695,50.50383,30.11609,79.05879,63.19425,
2023-04-01,66.69274,61.45392,23.62804,17.86717,7.43958,5.83127,14.27417,14.94674,28.41904,32.71597,
2023-05-01,64.77926,62.23406,22.23643,12.2293,6.37783,6.39245,11.60937,14.19175,24.25097,34.50642,
2023-06-01,57.48476,56.2785,19.81769,9.65937,5.27976,4.38526,10.70774,12.68749,20.52507,32.00175,
2023-07-01,52.81489,51.91696,18.88409,9.88601,5.46308,4.05225,10.30152,11.8878,20.40257,38.204,
2023-08-01,45.51024,46.34049,19.92326,10.3348,5.56439,3.83071,11.13898,11.56464,21.5051,38.42037,0.0
2023-09-01,47.58624,42.67194,18.63571,9.6457,5.3014,4.04107,11.94456,11.20117,20.4221,31.19183,
2023-10-01,66.22907,45.04144,20.30575,10.06513,5.64397,4.8969,10.41234,13.23538,20.54639,31.13928,
2023-11-01,73.54373,49.42174,20.5559,10.55599,5.92268,5.47235,10.43037,13.23238,21.57792,32.52002,
2023-12-01,61.37578,47.36563,19.25381,9.16674,5.3164,5.2489,9.62351,10.22785,20.59135,38.01165,
2024-01-01,49.99135,40.62433,18.86073,9.67451,5.24285,3.95202,10.50636,8.70212,19.53031,36.02277,
2024-02-01,46.35339,40.18659,17.0958,8.97046,4.97908,3.80156,9.80199,7.86379,18.13848,32.39182,
2024-03-01,55.22541,43.80985,17.44332,8.82175,5.08439,4.17619,9.94882,9.55088,19.01142,27.98376,
2024-04-01,52.79914,43.28647,15.96816,7.79458,4.40972,4.11914,9.66862,10.11132,17.50811,26.8287,
2024-05-01,49.59269,44.82427,17.19126,8.51954,4.84319,3.86308,10.11347,11.01871,18.63434,32.30118,
2024-06-01,43.96832,39.34904,14.71505,7.84813,4.07315,3.08086,8.3337,9.41881,15.37839,26.02597,
2024-07-01,43.64611,42.3908,16.04527,9.67584,4.90316,3.37164,9.96846,10.03535,18.15625,39.74391,
2024-08-01,36.04348,36.44423,15.60552,8.75734,4.5828,3.12906,10.82343,9.19838,18.1258,35.05563,
2024-09-01,37.78845,34.15923,14.92247,9.74968,4.86026,3.2973,11.67638,9.43737,18.23925,29.75798,
2024-10-01,52.31596,34.91016,15.1983,9.83441,5.3452,4.01508,10.85377,11.02867,18.56002,29.16536,
