seller_id,type,cv,R_mean,R_p25,R_p10,R_mean_eligible,R_mean_L_star,R_mean_cap_star,R_p25_eligible,R_p25_L_star,R_p25_cap_star,R_p10_eligible,R_p10_L_star,R_p10_cap_star
k_001cca7a_0,stable,0.2674659490585327,761.5872192382812,608.3477172851562,494.1588134765625,False,0.0,1.05,False,0.0,1.05,False,0.0,1.05
k_001cca7a_1,stable,0.40033894777297974,674.4561767578125,488.8188171386719,379.3363342285156,False,0.0,1.05,False,0.0,1.05,False,0.0,1.05
k_004c9cd9_0,stable,0.24276421964168549,1174.4149169921875,1009.6787719726562,877.9437255859375,False,0.0,1.05,False,0.0,1.05,False,0.0,1.05
k_004c9cd9_1,stable,0.20044881105422974,1038.9547119140625,885.3358154296875,797.1693725585938,False,0.0,1.05,False,0.0,1.05,False,0.0,1.05
k_00ee6830_0,stable,0.2769779860973358,1417.6912841796875,1158.851318359375,943.3480834960938,True,464.8844029017852,1.05,False,0.0,1.05,False,0.0,1.05
k_00ee6830_1,stable,0.2438211292028427,1982.48046875,1701.480224609375,1249.3458251953125,True,2401.304464285714,1.05,True,1437.8750558035715,1.05,False,0.0,1.05
k_013900e8_0,growth,0.634843111038208,286.6688537597656,169.2501678466797,135.55142211914062,False,0.0,1.1,False,0.0,1.1,False,0.0,1.1
k_013900e8_1,stable,0.5936212539672852,316.7295227050781,197.07923889160156,142.2873992919922,False,0.0,1.05,False,0.0,1.05,False,0.0,1.05
k_014c0679_0,stable,0.6924670934677124,493.7602844238281,269.3779296875,109.79713439941406,False,0.0,1.05,False,0.0,1.05,False,0.0,1.05
k_014c0679_1,stable,0.5767822265625,574.2744750976562,425.5615234375,311.257080078125,False,0.0,1.05,False,0.0,1.05,False,0.0,1.05
k_01c97ebb_0,volatile,0.5180647969245911,191.14593505859375,156.30523681640625,94.87480926513672,False,0.0,1.3,False,0.0,1.3,False,0.0,1.3
k_01c97ebb_1,stable,0.6324509382247925,148.07936096191406,111.46577453613281,39.57130432128906,False,0.0,1.05,False,0.0,1.05,False,0.0,1.05
k_01cf7e3d_0,stable,0.6487141847610474,655.1592407226562,381.5993957519531,259.2082214355469,False,0.0,1.05,False,0.0,1.05,False,0.0,1.05
k_01cf7e3d_1,stable,0.5625905990600586,625.774169921875,491.8192443847656,319.1405029296875,False,0.0,1.05,False,0.0,1.05,False,0.0,1.05
k_01fdefa7_0,stable,0.2307685911655426,785.5473022460938,629.4448852539062,588.4053955078125,False,0.0,1.05,False,0.0,1.05,False,0.0,1.05
k_01fdefa7_1,stable,0.1552184671163559,1014.5042114257812,868.1830444335938,810.3941040039062,False,0.0,1.05,False,0.0,1.05,False,0.0,1.05
k_02c98809_0,stable,0.35830897092819214,280.9189453125,238.60838317871094,178.73301696777344,False,0.0,1.05,False,0.0,1.05,False,0.0,1.05
k_02c98809_1,stable,0.32508984208106995,300.15765380859375,262.0395812988281,238.55242919921875,False,0.0,1.05,False,0.0,1.05,False,0.0,1.05
k_02d35243_0,stable,0.6303057074546814,425.61053466796875,243.3555145263672,197.3517608642578,False,0.0,1.05,False,0.0,1.05,False,0.0,1.05
k_02d35243_1,stable,0.5931181311607361,532.4486694335938,364.2646179199219,287.3883972167969,False,0.0,1.05,False,0.0,1.05,False,0.0,1.05
k_02ecc2a1_0,stable,0.47625455260276794,448.6016540527344,348.9627990722656,325.31103515625,False,0.0,1.05,False,0.0,1.05,False,0.0,1.05
k_02ecc2a1_1,stable,0.524478018283844,617.930419921875,481.2371826171875,383.994873046875,False,0.0,1.05,False,0.0,1.05,False,0.0,1.05
k_0432ead4_0,decline,0.7769638895988464,328.2130432128906,176.8640594482422,17.2729434967041,False,0.0,1.25,False,0.0,1.25,False,0.0,1.25
k_0432ead4_1,stable,0.7233467102050781,507.6286315917969,229.99871826171875,149.25131225585938,False,0.0,1.05,False,0.0,1.05,False,0.0,1.05
k_048c2757_0,stable,0.17540138959884644,705.7313842773438,616.408935546875,564.1697387695312,False,0.0,1.05,False,0.0,1.05,False,0.0,1.05
k_048c2757_1,stable,0.1825471669435501,627.3593139648438,531.7500610351562,464.1401672363281,False,0.0,1.05,False,0.0,1.05,False,0.0,1.05
k_04aba032_0,decline,0.5347022414207458,409.84368896484375,313.84698486328125,297.1368408203125,False,0.0,1.25,False,0.0,1.25,False,0.0,1.25
k_04aba032_1,stable,0.4142976403236389,301.96343994140625,269.1865539550781,201.57884216308594,False,0.0,1.05,False,0.0,1.05,False,0.0,1.05
k_0509040e_0,stable,0.35467204451560974,352.5953674316406,278.6452331542969,191.6520538330078,False,0.0,1.05,False,0.0,1.05,False,0.0,1.05
k_0509040e_1,growth,0.3483865261077881,328.3812561035156,230.291015625,199.7487335205078,False,0.0,1.1,False,0.0,1.1,False,0.0,1.1
k_054694fa_0,stable,0.6151223182678223,677.5687255859375,514.3704223632812,341.40447998046875,False,0.0,1.05,False,0.0,1.05,False,0.0,1.05
k_054694fa_1,stable,0.47155365347862244,583.321044921875,452.23638916015625,393.4148254394531,False,0.0,1.05,False,0.0,1.05,False,0.0,1.05
k_058cb5ae_0,stable,0.5238087773323059,329.8851318359375,263.5994567871094,218.0894317626953,False,0.0,1.05,False,0.0,1.05,False,0.0,1.05
k_058cb5ae_1,stable,0.5752501487731934,303.55950927734375,158.83302307128906,144.2891387939453,False,0.0,1.05,False,0.0,1.05,False,0.0,1.05
k_05d2173d_0,stable,0.399017870426178,771.5640258789062,623.5750732421875,371.07525634765625,False,0.0,1.05,False,0.0,1.05,False,0.0,1.05
k_05d2173d_1,stable,0.4128211736679077,468.2432556152344,364.12432861328125,251.74169921875,False,0.0,1.05,False,0.0,1.05,False,0.0,1.05
k_05ff92fe_0,stable,0.6024416089057922,1022.1414184570312,799.0855102539062,573.2889404296875,False,0.0,1.05,False,0.0,1.05,False,0.0,1.05
k_05ff92fe_1,stable,0.4484734535217285,1309.329345703125,1088.74609375,890.2180786132812,False,93.35775669642868,1.05,False,0.0,1.05,False,0.0,1.05
k_06579cb2_0,stable,0.18539929389953613,563.5459594726562,500.943603515625,449.1261291503906,False,0.0,1.05,False,0.0,1.05,False,0.0,1.05
k_06579cb2_1,stable,0.18035168945789337,651.507080078125,568.089111328125,541.3297119140625,False,0.0,1.05,False,0.0,1.05,False,0.0,1.05
k_066a6914_0,stable,0.5550316572189331,643.283935546875,446.6271667480469,340.4229736328125,False,0.0,1.05,False,0.0,1.05,False,0.0,1.05
k_066a6914_1,stable,0.5833707451820374,631.5971069335938,445.0185241699219,371.1354064941406,False,0.0,1.05,False,0.0,1.05,False,0.0,1.05
k_06e5eefc_0,growth,0.40266719460487366,2289.2548828125,1590.6529541015625,1123.098388671875,True,3296.143252840909,1.1,True,1009.8096679687502,1.1,False,0.0,1.1
k_06e5eefc_1,growth,0.40086057782173157,2522.671142578125,1792.782958984375,1483.505126953125,True,4060.051012073864,1.1,True,1671.3260475852271,1.1,True,659.1440518465912,1.1
k_07017df3_0,volatile,0.56192547082901,130.48033142089844,84.53341674804688,43.01543426513672,False,0.0,1.3,False,0.0,1.3,False,0.0,1.3
k_07017df3_1,other,0.5505425930023193,165.79934692382812,101.58342742919922,66.43276977539062,False,0.0,1.1500000000000001,False,0.0,1.1500000000000001,False,0.0,1.1500000000000001
k_070d1653_0,stable,0.4705874025821686,644.32568359375,474.38336181640625,433.6755676269531,False,0.0,1.05,False,0.0,1.05,False,0.0,1.05
k_070d1653_1,stable,0.3993464708328247,499.37677001953125,396.0025329589844,349.19488525390625,False,0.0,1.05,False,0.0,1.05,False,0.0,1.05
k_0725b8c0_0,stable,0.6471602916717529,292.7124328613281,201.51776123046875,160.94400024414062,False,0.0,1.05,False,0.0,1.05,False,0.0,1.05
k_0725b8c0_1,seasonal,0.7263921499252319,158.24789428710938,85.81449127197266,23.339218139648438,False,0.0,1.2000000000000002,False,0.0,1.2000000000000002,False,0.0,1.2000000000000002
k_07bf9669_0,stable,0.6232190728187561,255.3843231201172,167.40744018554688,91.93949890136719,False,0.0,1.05,False,0.0,1.05,False,0.0,1.05
k_07bf9669_1,stable,0.43347200751304626,277.1257629394531,207.63429260253906,189.87892150878906,False,0.0,1.05,False,0.0,1.05,False,0.0,1.05
k_080102cd_0,stable,0.40610820055007935,993.7703247070312,731.2631225585938,638.1026611328125,False,0.0,1.05,False,0.0,1.05,False,0.0,1.05
k_080102cd_1,growth,0.45588696002960205,1354.2647705078125,800.481201171875,548.2011108398438,True,236.17561257102227,1.1,False,0.0,1.1,False,0.0,1.1
k_080199a1_0,stable,0.36934375762939453,1041.2056884765625,744.8485717773438,627.3457641601562,False,0.0,1.05,False,0.0,1.05,False,0.0,1.05
k_080199a1_1,stable,0.1929449737071991,1047.1427001953125,931.1552734375,829.3487548828125,False,0.0,1.05,False,0.0,1.05,False,0.0,1.05
k_08d0949a_0,stable,0.6385577917098999,80.1355972290039,48.83634948730469,37.35177230834961,False,0.0,1.05,False,0.0,1.05,False,0.0,1.05
k_08d0949a_1,stable,0.4968574643135071,103.86759948730469,99.68811798095703,68.64335632324219,False,0.0,1.05,False,0.0,1.05,False,0.0,1.05
k_09f952a5_0,growth,0.19517245888710022,1363.1326904296875,1176.618408203125,1092.3060302734375,True,265.1978959517044,1.1,False,0.0,1.1,False,0.0,1.1
k_09f952a5_1,growth,0.2637050747871399,1188.4205322265625,976.6953125,840.7848510742188,False,0.0,1.1,False,0.0,1.1,False,0.0,1.1
k_0ac4201f_0,stable,0.6067018508911133,307.32147216796875,205.46414184570312,134.07586669921875,False,0.0,1.05,False,0.0,1.05,False,0.0,1.05
k_0ac4201f_1,decline,0.7828153967857361,363.4777526855469,232.76864624023438,116.18515014648438,False,0.0,1.25,False,0.0,1.25,False,0.0,1.25
k_0adac9fb_0,stable,0.6108947396278381,864.1283569335938,627.2682495117188,370.14984130859375,False,0.0,1.05,False,0.0,1.05,False,0.0,1.05
k_0adac9fb_1,stable,0.5449787974357605,1083.5670166015625,798.6283569335938,639.337646484375,False,0.0,1.05,False,0.0,1.05,False,0.0,1.05
k_0afccdb8_0,stable,0.5606892704963684,122.858154296875,93.12124633789062,58.173255920410156,False,0.0,1.05,False,0.0,1.05,False,0.0,1.05
k_0afccdb8_1,stable,0.5444135069847107,130.11544799804688,87.33695220947266,52.77685546875,False,0.0,1.05,False,0.0,1.05,False,0.0,1.05
k_0b18d63d_0,decline,0.615103542804718,267.493408203125,175.64556884765625,116.4919662475586,False,0.0,1.25,False,0.0,1.25,False,0.0,1.25
k_0b18d63d_1,other,0.5786879062652588,245.99185180664062,181.4571990966797,127.11475372314453,False,0.0,1.1500000000000001,False,0.0,1.1500000000000001,False,0.0,1.1500000000000001
