#{"t_start": 1779091296.1680708, "env_id": "None"}
r,l,t
-27.807476,24,0.581843
-27.733492,24,0.584343
-16.402012,24,0.586786
-27.850423,24,0.589568
-25.037133,24,0.592121
-29.819164,24,0.59459
-30.773388,24,0.596996
-20.096201,24,0.599431
-28.522205,24,0.601845
-27.614617,24,0.604685
-29.240243,24,0.607338
-29.718551,24,0.609849
-30.283013,24,0.612375
-24.250564,24,0.614859
-28.815867,24,0.617488
-25.309464,24,0.61994
-25.309378,24,0.622358
-14.171405,19,0.624319
-23.879396,24,0.62672
-8.074163,22,0.629003
-31.697727,24,0.631544
-32.007075,24,0.634037
-27.391414,24,0.636499
-31.106408,24,0.639015
-30.522284,24,0.641474
-30.303181,24,0.644031
-18.284611,24,0.646459
-30.547157,24,0.64886
-26.241741,21,0.651013
-16.260047,24,0.653382
-8.154534,22,0.655693
-31.18356,24,0.658279
-26.352648,24,0.660687
-15.120306,23,0.662985
-25.503005,24,0.665402
-31.186492,24,0.667786
-32.007803,24,0.670232
-29.395098,24,0.672632
-25.06266,24,0.675025
-15.575449,24,0.67743
-27.647706,24,0.679817
-27.32204,22,0.682006
-23.507896,23,0.684327
-13.582165,14,0.685748
-23.157109,24,0.688089
-22.634835,24,0.690477
-27.573399,23,0.692743
-17.131103,24,0.695083
-25.102044,24,0.697615
-21.389336,24,0.700024
-15.202157,16,0.70167
-31.176314,24,0.70409
-21.347316,24,0.706485
-28.952295,24,0.708874
-15.093302,24,0.711458
-30.605159,24,0.713915
-27.410065,24,0.716372
-18.627167,22,0.718653
-18.326561,24,0.721099
-28.165338,24,0.723577
-26.441218,24,0.725978
-26.460097,24,0.728371
-27.265836,24,0.730768
-23.610329,24,0.733153
-18.618855,21,0.735318
-16.159141,24,0.737941
-26.262886,24,0.740383
-31.056428,24,0.742793
-30.30403,24,0.745224
-26.36811,24,0.747612
-30.971738,24,0.750033
-30.835689,24,0.752402
-30.330122,24,0.754769
-20.845579,23,0.757064
-14.574076,24,0.759448
-26.251421,24,0.761839
-20.752329,24,0.764346
-29.560151,23,0.766652
-26.235241,23,0.768962
-30.586385,24,0.77138
-29.010404,24,0.773758
-30.982246,24,0.776179
-29.728781,24,0.77857
-23.363769,24,0.780969
-27.534984,24,0.783367
-25.231146,24,0.785755
-21.561702,24,0.788116
-22.666615,24,1.041332
-26.222435,24,1.044275
-25.85824,24,1.046816
-30.728651,24,1.049315
-28.22871,23,1.05164
-26.414751,23,1.053953
-19.973219,19,1.056055
-23.785176,24,1.058587
-30.574042,24,1.061021
-15.949862,23,1.063331
-28.603013,24,1.065733
-23.402887,24,1.068129
-31.237254,24,1.070619
-24.897434,24,1.073043
-21.574139,21,1.075192
-27.875984,23,1.077518
-28.389927,24,1.079963
-30.469202,24,1.082408
-25.555585,22,1.08462
-25.713596,24,1.087028
-29.057145,23,1.089344
-27.924057,24,1.091718
-20.463967,24,1.094144
-23.493762,24,1.096736
-26.308267,24,1.099303
-30.618647,24,1.101787
-31.786483,24,1.104269
-21.864951,24,1.106756
-26.189746,21,1.108915
-19.173481,24,1.111355
-30.436113,24,1.113741
-29.992767,24,1.116109
-31.985303,24,1.118486
-27.180493,22,1.12066
-30.014589,24,1.123065
-19.199733,24,1.125443
-23.867035,19,1.127319
-27.832541,22,1.129511
-28.637726,24,1.131871
-29.101313,24,1.134216
-25.916799,24,1.136795
-21.216869,23,1.139198
-17.80456,24,1.14165
-30.377591,24,1.144096
-21.556699,24,1.14657
-22.092294,24,1.149082
-30.013326,24,1.151602
-27.124724,23,1.153989
-22.011895,24,1.156422
-21.407367,24,1.158857
-28.181797,24,1.161282
-30.464985,24,1.163687
-30.357116,24,1.166081
-15.872119,24,1.168534
-24.088856,19,1.170472
-23.133301,23,1.172786
-28.302624,24,1.175216
-19.376002,24,1.177727
-31.001502,24,1.180174
-28.129545,23,1.182478
-30.932742,24,1.184903
-21.948602,24,1.187351
-31.170701,24,1.190097
-31.151417,24,1.192604
-22.653688,24,1.195071
-30.818333,24,1.197527
-23.978245,22,1.20021
