#{"t_start": 1780031485.44627, "env_id": "None"}
r,l,t
-24.113151,23,0.504832
-29.662507,24,0.506725
-16.344779,24,0.508493
-29.105838,24,0.510208
-25.280878,24,0.617892
-30.106554,24,0.698991
-22.072183,19,0.76596
-19.108267,24,0.846007
-25.389205,24,0.926216
-27.609497,24,1.005762
-16.703735,16,1.058838
-15.023988,14,1.105401
-30.133616,24,1.184312
-22.218858,24,1.261291
-27.36552,24,1.339735
-28.809269,24,1.417684
-15.337136,18,1.476873
-18.622798,24,1.557584
-23.959097,24,1.635069
-6.340916,20,1.699492
-31.449809,24,1.776855
-29.053086,24,1.853071
-14.287272,16,1.90505
-23.026149,20,1.970059
-24.918354,21,2.039468
-18.189216,17,2.095317
-18.759488,24,2.172425
-27.417538,23,2.247467
-25.395222,23,2.321498
-17.478061,24,2.398418
-5.580208,20,2.462967
-31.470193,24,2.542641
-20.221721,20,2.608781
-16.152046,24,2.685929
-13.069782,15,2.734837
-19.54625,17,2.789082
-16.737201,16,2.840303
-9.083281,10,2.872287
-22.649962,24,2.94933
-7.658267,17,3.004177
-13.273711,14,3.049807
-16.148372,15,3.098713
-15.517871,18,3.160843
-22.206949,24,3.239645
-21.993444,24,3.317832
-20.1865,23,3.392405
-10.206353,11,3.428447
-17.155379,18,3.488822
-12.51646,14,3.542899
-7.044671,12,3.584334
-23.316171,23,3.663523
-30.277935,24,3.742973
-6.725125,10,3.776321
-20.037396,18,3.838368
-22.883494,24,3.917508
-31.243612,24,3.99598
-29.297015,24,4.076153
-21.396355,24,4.155985
-17.967663,24,4.235507
-20.889988,20,4.300973
-16.830342,16,4.352943
-12.235314,13,4.395121
-20.540325,21,4.464461
-18.363045,21,4.533084
-16.986357,21,4.601836
-22.281425,24,4.679572
-8.313051,10,4.711637
-30.894075,24,4.790551
-19.498385,17,4.845622
-25.81376,24,4.923209
-22.366907,18,4.981187
-24.840479,21,5.048971
-29.565978,24,5.127008
-19.186976,22,5.197785
-13.783154,24,5.275675
-17.209088,18,5.333491
-17.185606,24,5.411474
-30.439111,24,5.48905
-11.774141,12,5.528569
-31.609298,24,5.60732
-21.075881,19,5.668298
-24.390559,20,5.732317
-12.064621,12,5.770925
-22.137239,24,5.848033
-5.764465,8,5.873546
-25.300499,24,5.951187
-23.107767,24,6.029252
-13.424179,15,6.078977
-18.737472,18,6.137085
-21.440778,24,6.215014
-27.123661,22,6.285416
